st_name,stcd
明星,50222504
艾庙,50222505
夹塘埂,50222506
傅店,50223051
新里集,50223052
万营,50223053
塘埂,50223054
彭店,50228950
邬桥,50229100
传流店,50230050
张集,50230350
宋爻水库,41603051
颍阳,41603052
郭寨,41603053
庞窑水库,41603054
和沟水库,50605341
钱岭,50620050
水磨湾,50620051
石道,50620100
上窝,50620101
大金店,50620150
姜家窑水库,50620151
阎坡,50620152
少林寺,50620153
大王村,50620154
东金店,50620155
河门,50620156
嵩山,50620157
太后庙,50620158
西白坪,50620250
陈楼,50620251
南窑,50620252
登封,50620300
芦店,50620500
唐庄,50620501
花楼,50620502
井湾水库,50620503
徐庄,50620650
杨林,50620651
佛垌水库,50620652
东施村,50620653
大冶,50632250
孙圣沟,31024251
孙家荒,31024252
施家沟,31024850
曹家,31024903
王家荒,31024904
西顶,31024905
大吕寨,31024915
石门,31024916
西洪桥,50300800
杨岗,50321350
石桥,50321351
塔桥,50321352
五龙,50321353
上蔡,50321500
蔡都,50321551
邵店,50321552
杨阁,50321554
关马庄,50321555
党店,50321701
蔡埠口,50324350
杨屯,50324355
黄埠,50324356
大路李,50324357
无量寺,50324358
坡杨,50635400
华陂,50635401
小岳寺,50635402
王营,50635500
刘连寨,50635501
崇礼,50635752
东岸,50635753
朱里,50636000
蔡沟,50636100
韩寨,50636101
狼坡庄,50636102
大骆,50636103
孟角,50824506
兰考,50824700
爪营,50824709
史庄,50824714
张君墓,50824720
耿寨,50824721
堌阳镇,51224711
白楼,51224712
小宋北,51224713
史庄,51224714
东坝头,51232160
堌阳,51232170
南彰,51232180
大胡庄,51261121
宋营,51261171
堌阳,51322170
西八里庄,31006903
三家庄,31006904
花园庄,31006905
丰安,31006906
龙泉水库,31006907
张家岗,31006908
凤泉区,31005466
东鲁堡,31005467
分将池,31005468
前郭柳,31005469
耿庄,31022051
北曲沟,31006909
东柳圈,31024357
马投涧,31024400
高白塔,31024401
二十里铺,31024410
何官屯,31024411
李珍,31025050
东岭西,31025051
南阳城,31025052
都里乡,31025053
西柏涧,31025054
化炉,31025055
合山水库,31025056
南磊口,31025057
西子针,31025058
水冶,31025100
下河,31025101
新大堰,31025102
李庄,31025103
天喜镇,31025104
五里庙,31025105
岭头,31025106
东何坟,31025150
牛家河,31025151
林县庄,31025152
朝阳水库,31025153
四合,31025154
五龙沟,31025155
西马庄,31025156
白壁,31025210
西街,31025211
